learning_rate,max_depth,n_estimators,reg_alpha,subsample,Run,Rmse,rsq
143,0.0001,6,5000,1e-06,0.9,143,0.9333410300548306,-1.7555151000305687
144,0.001,3,100,0.0001,0.5,144,2.334977150025927,-4.9095140280019685
145,0.001,3,100,0.0001,0.7,145,2.3363557920776996,-4.906974150805342
146,0.001,3,100,0.0001,0.9,146,2.3418706663474764,-4.906870526241679
147,0.001,3,100,5e-05,0.5,147,2.334977150025927,-4.9095140280019685
148,0.001,3,100,5e-05,0.7,148,2.3363557920776996,-4.906974150805342
149,0.001,3,100,5e-05,0.9,149,2.3418706663474764,-4.906870526241679
150,0.001,3,100,1e-05,0.5,150,2.334977150025927,-4.9095140280019685
151,0.001,3,100,1e-05,0.7,151,2.3363557920776996,-4.906974150805342
152,0.001,3,100,1e-05,0.9,152,2.3418706663474764,-4.906870526241679
153,0.001,3,100,1e-06,0.5,153,2.334977150025927,-4.9095140280019685
154,0.001,3,100,1e-06,0.7,154,2.3363557920776996,-4.906974150805342
155,0.001,3,100,1e-06,0.9,155,2.3418706663474764,-4.906870526241679
156,0.001,3,1000,0.0001,0.5,156,0.4618204014108763,-0.13524867314612132
157,0.001,3,1000,0.0001,0.7,157,0.46171894224296406,-0.12722380641447995
158,0.001,3,1000,0.0001,0.9,158,0.46208464589766285,-0.1230153077788041
159,0.001,3,1000,5e-05,0.5,159,0.4618204014108763,-0.13524867314612132
160,0.001,3,1000,5e-05,0.7,160,0.46171894224296406,-0.12722380641447995
161,0.001,3,1000,5e-05,0.9,161,0.46208464589766285,-0.1230153077788041
162,0.001,3,1000,1e-05,0.5,162,0.4618204014108763,-0.13524867314612132
163,0.001,3,1000,1e-05,0.7,163,0.46171894224296406,-0.12722380641447995
164,0.001,3,1000,1e-05,0.9,164,0.46208464589766285,-0.1230153077788041
165,0.001,3,1000,1e-06,0.5,165,0.4618204014108763,-0.13524867314612132
166,0.001,3,1000,1e-06,0.7,166,0.46171894224296406,-0.12722380641447995
167,0.001,3,1000,1e-06,0.9,167,0.46208464589766285,-0.1230153077788041
168,0.001,3,3500,0.0001,0.5,168,0.13864598596467517,0.8908203870208526
169,0.001,3,3500,0.0001,0.7,169,0.14057858344771137,0.8886864841582393
170,0.001,3,3500,0.0001,0.9,170,0.14272535653629084,0.8850488085273647
171,0.001,3,3500,5e-05,0.5,171,0.13864598596467517,0.8908203870208526
172,0.001,3,3500,5e-05,0.7,172,0.14057858344771137,0.8886864841582393
173,0.001,3,3500,5e-05,0.9,173,0.14272535653629084,0.8850488085273647
174,0.001,3,3500,1e-05,0.5,174,0.13864598596467517,0.8908203870208526
175,0.001,3,3500,1e-05,0.7,175,0.14057858344771137,0.8886864841582393
176,0.001,3,3500,1e-05,0.9,176,0.14272535653629084,0.8850488085273647
177,0.001,3,3500,1e-06,0.5,177,0.13864598596467517,0.8908203870208526
178,0.001,3,3500,1e-06,0.7,178,0.14057858344771137,0.8886864841582393
179,0.001,3,3500,1e-06,0.9,179,0.14272535653629084,0.8850488085273647
180,0.001,3,5000,0.0001,0.5,180,0.13245594187752002,0.906473612895369
181,0.001,3,5000,0.0001,0.7,181,0.1335247970422404,0.9042465701726053
182,0.001,3,5000,0.0001,0.9,182,0.13546235521435365,0.9005591745281117
